pclass,survived,name,sex,age,sibsp,parch,fare,embarked
1,1,"Allen, Miss. Elisabeth Walton",female,29,0,0,211.3375,S
1,0,"Allison, Miss. Helen Loraine",female,2,1,2,151.5500,S
1,0,"Allison, Mr. Hudson Joshua Creighton",male,30,1,2,151.5500,S
1,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25,1,2,151.5500,S
1,1,"Anderson, Mr. Harry",male,48,0,0,26.5500,S
1,0,"Andrews, Mr. Thomas Jr",male,39,0,0,0.0000,S
1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53,2,0,51.4792,S
1,0,"Astor, Col. John Jacob",male,47,1,0,227.5250,C
1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18,1,0,227.5250,C
1,1,"Aubart, Mme. Leontine Pauline",female,24,0,0,69.3000,C
1,1,"Barber, Miss. Ellen ""Nellie""",female,26,0,0,78.8500,S
1,0,"Baumann, Mr. John D",male,,0,0,25.9250,S
1,0,"Baxter, Mr. Quigg Edmond",male,24,0,1,247.5208,C
1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,0,1,247.5208,C
1,1,"Bazzani, Miss. Albina",female,32,0,0,76.2917,C
1,0,"Beattie, Mr. Thomson",male,36,0,0,75.2417,C
1,1,"Beckwith, Mr. Richard Leonard",male,37,1,1,52.5542,S
1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47,1,1,52.5542,S
1,1,"Behr, Mr. Karl Howell",male,26,0,0,30.0000,C
1,1,"Bidois, Miss. Rosalie",female,42,0,0,227.5250,C
1,1,"Bird, Miss. Ellen",female,29,0,0,221.7792,S
1,0,"Birnbaum, Mr. Jakob",male,25,0,0,26.0000,C
1,1,"Bishop, Mr. Dickinson H",male,25,1,0,91.0792,C
1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,0,91.0792,C
1,1,"Bissette, Miss. Amelia",female,35,0,0,135.6333,S
1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28,0,0,26.5500,S
